iter	Passed	Remaining
700	1579	673
701	1581	671
702	1583	668
703	1584	666
704	1585	663
705	1587	661
706	1588	658
707	1591	656
708	1593	654
709	1595	651
710	1597	649
711	1599	647
712	1601	644
713	1604	642
714	1606	640
715	1608	638
716	1610	635
717	1611	632
718	1613	630
719	1614	627
720	1616	625
721	1618	623
722	1620	620
723	1623	618
724	1625	616
725	1626	613
726	1628	611
727	1629	608
728	1631	606
729	1632	603
730	1634	601
731	1636	599
732	1639	597
733	1641	594
734	1642	592
735	1644	589
736	1646	587
737	1647	584
738	1649	582
739	1652	580
740	1654	578
741	1656	576
742	1658	573
743	1660	571
744	1662	568
745	1663	566
746	1665	563
747	1667	561
748	1670	559
749	1672	557
750	1674	555
751	1675	552
752	1676	550
753	1678	547
754	1680	545
755	1683	543
756	1685	540
757	1686	538
758	1688	536
759	1689	533
760	1691	531
761	1692	528
762	1694	526
763	1696	524
764	1700	522
765	1702	520
766	1704	517
767	1705	515
768	1707	512
769	1708	510
770	1710	508
771	1713	506
772	1715	503
773	1717	501
774	1718	498
775	1720	496
776	1721	494
777	1723	491
778	1724	489
779	1726	486
780	1729	484
781	1731	482
782	1733	480
783	1734	477
784	1736	475
785	1737	473
786	1739	470
787	1741	468
788	1743	466
789	1745	463
790	1747	461
791	1749	459
792	1751	457
793	1752	454
794	1754	452
795	1756	450
796	1758	447
797	1760	445
798	1762	443
799	1764	441
800	1766	438
801	1767	436
802	1769	433
803	1770	431
804	1772	429
805	1774	427
806	1776	424
807	1778	422
808	1779	420
809	1780	417
810	1782	415
811	1784	413
812	1785	410
813	1787	408
814	1788	406
815	1791	403
816	1792	401
817	1793	399
818	1795	396
819	1796	394
820	1798	392
821	1800	389
822	1801	387
823	1803	385
824	1805	383
825	1807	380
826	1808	378
827	1810	376
828	1812	373
829	1813	371
830	1815	369
831	1816	366
832	1818	364
833	1822	362
834	1823	360
835	1825	358
836	1827	355
837	1828	353
838	1829	351
839	1831	348
840	1832	346
841	1835	344
842	1837	342
843	1838	339
844	1840	337
845	1842	335
846	1843	333
847	1844	330
848	1846	328
849	1848	326
850	1849	323
851	1851	321
852	1854	319
853	1857	317
854	1859	315
855	1860	313
856	1862	310
857	1864	308
858	1866	306
859	1869	304
860	1870	302
861	1872	299
862	1873	297
863	1875	295
864	1876	292
865	1878	290
866	1880	288
867	1883	286
868	1886	284
869	1888	282
870	1889	279
871	1893	277
872	1894	275
873	1897	273
874	1899	271
875	1901	269
876	1902	266
877	1904	264
878	1906	262
879	1907	260
880	1909	257
881	1910	255
882	1917	254
883	1918	251
884	1920	249
885	1922	247
886	1923	245
887	1925	242
888	1926	240
889	1931	238
890	1932	236
891	1934	234
892	1935	231
893	1937	229
894	1938	227
895	1940	225
896	1941	222
897	1945	220
898	1947	218
899	1948	216
900	1950	214
901	1952	212
902	1953	209
903	1955	207
904	1956	205
905	1959	203
906	1961	201
907	1962	198
908	1963	196
909	1965	194
910	1966	192
911	1968	189
912	1969	187
913	1971	185
914	1972	183
915	1975	181
916	1977	178
917	1978	176
918	1980	174
919	1981	172
920	1983	170
921	1984	167
922	1986	165
923	1988	163
924	1991	161
925	1992	159
926	1994	157
927	1996	154
928	1998	152
929	2000	150
930	2003	148
931	2006	146
932	2008	144
933	2009	142
934	2010	139
935	2012	137
936	2014	135
937	2015	133
938	2016	131
939	2018	128
940	2019	126
941	2022	124
942	2024	122
943	2025	120
944	2026	117
945	2028	115
946	2029	113
947	2031	111
948	2033	109
949	2035	107
950	2038	105
951	2039	102
952	2041	100
953	2042	98
954	2044	96
955	2045	94
956	2047	91
957	2049	89
958	2050	87
959	2053	85
960	2055	83
961	2056	81
962	2058	79
963	2060	76
964	2062	74
965	2064	72
966	2067	70
967	2069	68
968	2072	66
969	2074	64
970	2075	61
971	2077	59
972	2078	57
973	2080	55
974	2083	53
975	2085	51
976	2086	49
977	2088	46
978	2089	44
979	2091	42
980	2093	40
981	2094	38
982	2096	36
983	2100	34
984	2101	32
985	2103	29
986	2104	27
987	2106	25
988	2107	23
989	2109	21
990	2111	19
991	2112	17
992	2116	14
993	2117	12
994	2119	10
995	2120	8
996	2121	6
997	2123	4
998	2124	2
999	2127	0
